email,university,name,divisions,tags,id
jennytestsix@test.com,University of Newcastle,Jenny Testsix,"['d_14', 'd_15']","['accounting', 'bitcoin', 'commodity', 'credit', 'development project', 'ecotourism', 'empowerment', 'food supply', 'gross domestic product', 'small business']",Reg_jennytestsix@test.com
jennytestsixteen@test.com,University of Newcastle,Jenny Testsixteen,"['d_14', 'd_15']",,Reg_jennytestsixteen@test.com
jennytestten@test.com,University of Newcastle,Jenny Testten,['d_14'],,Reg_jennytestten@test.com
jennytestthirteen@test.com,University of Newcastle,Jenny Testthirteen,"['d_10', 'd_14', 'd_15']",,Reg_jennytestthirteen@test.com
jennytestthree@test.com,University of Newcastle,Jenny Testthree,['d_15'],"['contigency', 'design', 'ecotourism', 'financial market', 'goods', 'import', 'marketing', 'retail', 'supply chains', 'travel']",Reg_jennytestthree@test.com
jennytesttwelve@test.com,University of Newcastle,Jenny Testtwelve,"['d_07', 'd_14', 'd_15']",,Reg_jennytesttwelve@test.com
jennytesttwo@test.com,University of Newcastle,Jenny Testtwo,['d_14'],"['accounting', 'bank', 'budget', 'conservation management', 'customer', 'economic impact', 'employability', 'financial management', 'globalization', 'income distribution']",Reg_jennytesttwo@test.com
philosophy@123.com,Australian National University,Test Philosophy,['d_22'],,Reg_philosophy@123.com
robert.b@anu.com,Australian National University,Robert B,"['d_16', 'd_19', 'd_20']","['acculturation', 'community participation', 'community research', 'cultural geography', 'cultural relations', 'digital divide', 'intercultural learning', 'intercultural skills', 'media consumption', 'virtual community']",Reg_robert.b@anu.com
robert.c@aun.com,Australian National University,Robert C,"['d_16', 'd_20', 'd_21']","['acculturation', 'campaign', 'community participation', 'community research', 'cultural diversity', 'cultural heritage', 'culture factors', 'culture studies', 'internal migration', 'policy attitude']",Reg_robert.c@aun.com
robert.d@anu.com,Australian National University,Robert D,"['d_16', 'd_18', 'd_20']","['acculturation', 'community participation', 'community research', 'cultural factors', 'cultural geography', 'cultural relations', 'discrimination', 'discrimination law', 'fairness', 'government policy']",Reg_robert.d@anu.com
robert.e@anu.com,Australian National University,Robert E,"['d_19', 'd_20', 'd_21']","['artefact', 'artwork', 'community research', 'creative work', 'cultural geography', 'cultural heritage', 'cultural relations', 'historic', 'history', 'indigenous']",Reg_robert.e@anu.com
robert.f@anu.com,Australian National University,Robert F,"['d_16', 'd_18', 'd_21']","['campaign', 'community participation', 'community research', 'discrimination', 'discrimination law', 'emigration and immigration', 'immigrant', 'indigenous people', 'internal immigration', 'migration']",Reg_robert.f@anu.com
ryan@anu.com,Australian National University,Ryan Yang,"['d_04', 'd_05']",['Wood'],Reg_ryan@anu.com
stageonehigha@anu.edu.au,Australian National University,StageOneHighA Medic,"['d_06', 'd_11', 'd_17']","['ankle', 'communicable diseases', 'drug-related side effects and adverse reactions', 'endophenotypes', 'exercise test', 'health personnel', 'home care services', 'mental disorders', 'physical activity', 'triage']",Reg_stageonehigha@anu.edu.au
stageonelowa@anu.edu.au,Australian National University,StageOneLowA Medic,"['d_13', 'd_17']",,Reg_stageonelowa@anu.edu.au
stageonemida@anu.edu.au,Australian National University,StageOneMidA Medic,"['d_11', 'd_17']","['body composition', 'communicable diseases', 'drug-related side effects and adverse reactions', 'health personnel', 'interferons', 'mental disorders', 'nutrients', 'proliferation', 'wrist']",Reg_stageonemida@anu.edu.au
stageonemidb@anu.edu.au,Australian National University,StageOneMidB Medic,"['d_06', 'd_11']","['coronavirus', 'drug-related side effects and adverse reactions', 'interferons', 'lung', 'physical activity', 'proliferation', 'recovery', 'virus']",Reg_stageonemidb@anu.edu.au
stageonemidc@anu.edu.au,Australian National University,StageOneMidC Medic,"['d_06', 'd_11']","['aspirin', 'blood', 'drug-related side effects and adverse reactions', 'infection', 'physical activity', 'triage', 'weight loss']",Reg_stageonemidc@anu.edu.au
stagezero@anu.edu.au,Australian National University,StageZero Medic,"['d_06', 'd_11', 'd_17']","['ankle', 'drug-related side effects and adverse reactions', 'health care professionals', 'health personnel', 'home care services', 'parkinson disease', 'physical activity', 'proliferation', 'triage', 'weight loss']",Reg_stagezero@anu.edu.au
stagezerotesta@anu.edu.au,Australian National University,StageZeroTestA Medic,"['d_06', 'd_11', 'd_17']","['ankle', 'drug', 'health care', 'health personnel', 'home care services', 'parkinson', 'physical activity', 'proliferation', 'triage', 'weight loss']",Reg_stagezerotesta@anu.edu.au
t@0.com,Australian National University,Test Test,"['d_04', 'd_05']",,Reg_t@0.com
t@t.com,Southern Cross University,Test Robot,"['d_08', 'd_09', 'd_10']",,Reg_t@t.com
test@0.com,Macquarie University,Test Test,['d_09'],,Reg_test@0.com
test@2.com,Southern Cross University,Ttt Ttt,"['d_08', 'd_09', 'd_10']",,Reg_test@2.com
test@anu.com,Australian National University,F Test,"['d_01', 'd_02']",['Health'],Reg_test@anu.com
tester@anu.com,Australian National University,David James,"['d_01', 'd_04', 'd_05']",['Health'],Reg_tester@anu.com
testtesttwenty@test.com,University of Newcastle,Jenny Testtwenty,"['d_14', 'd_15']",,Reg_testtesttwenty@test.com
testtwentyone@test.com,University of Newcastle,Jenny Testtwentyone,"['d_14', 'd_15']",,Reg_testtwentyone@test.com
u6872840@anu.edu.au,Australian National University,Zixian Huang,['d_08'],,Reg_u6872840@anu.edu.au
u7190388@anu.edu.au,Australian National University,Linnie Gu,"['d_08', 'd_09']",,Reg_u7190388@anu.edu.au
