id,topics
Grants623afca9b34a6bd48ae4bda8,"[(11, 0.11391368), (16, 0.2543015), (19, 0.59853846)]"
Grants623afcacb34a6bd48ae4bda9,"[(5, 0.2398283), (11, 0.503618), (19, 0.22776128)]"
Grants623afcafb34a6bd48ae4bdaa,"[(2, 0.5219881), (6, 0.11043362), (11, 0.08486456), (19, 0.25630745)]"
Grants623afcb2b34a6bd48ae4bdab,"[(6, 0.2271816), (11, 0.15171883), (19, 0.5778804)]"
Grants623afcb4b34a6bd48ae4bdac,"[(11, 0.09341058), (16, 0.21872036), (19, 0.6503145)]"
Grants623afcb6b34a6bd48ae4bdad,"[(6, 0.11975391), (7, 0.10130183), (11, 0.04758383), (19, 0.20991229), (20, 0.49172223)]"
Grants623afcb9b34a6bd48ae4bdae,"[(11, 0.54081905), (13, 0.1602613), (19, 0.26136374)]"
Grants623afcbbb34a6bd48ae4bdaf,"[(6, 0.114838965), (10, 0.110653445), (11, 0.087906726), (17, 0.24713606), (19, 0.41531515)]"
Grants623afcbeb34a6bd48ae4bdb0,"[(10, 0.18443435), (11, 0.06757321), (17, 0.42981023), (19, 0.28671017)]"
Grants623afcc0b34a6bd48ae4bdb1,"[(11, 0.11816363), (12, 0.07147034), (14, 0.2899956), (19, 0.4861693)]"
Grants623afcc3b34a6bd48ae4bdb2,"[(0, 0.5228227), (7, 0.1387765), (11, 0.0785449), (19, 0.23345758)]"
Grants623afcc5b34a6bd48ae4bdb3,"[(11, 0.14179465), (17, 0.14749537), (19, 0.67615986)]"
Grants623afcc7b34a6bd48ae4bdb4,"[(11, 0.105025105), (16, 0.31617266), (19, 0.5428107)]"
Grants623afccab34a6bd48ae4bdb5,"[(6, 0.18542475), (10, 0.40504766), (13, 0.19764183), (19, 0.17289306)]"
Grants623afcccb34a6bd48ae4bdb6,"[(8, 0.491949), (9, 0.06383271), (11, 0.0991411), (19, 0.30948994)]"
Grants623afccfb34a6bd48ae4bdb7,"[(4, 0.2485504), (6, 0.23557751), (18, 0.13128307), (19, 0.35535252)]"
Grants623afcd1b34a6bd48ae4bdb8,"[(2, 0.15309429), (6, 0.156009), (10, 0.15117657), (21, 0.42254648)]"
Grants623afcd3b34a6bd48ae4bdb9,"[(11, 0.06745538), (14, 0.18205217), (19, 0.724306)]"
Grants623afcd6b34a6bd48ae4bdba,"[(2, 0.26899585), (11, 0.2016624), (19, 0.314187), (21, 0.186938)]"
Grants623afcd8b34a6bd48ae4bdbb,"[(11, 0.43520808), (19, 0.34829265), (21, 0.18194917)]"
Grants623afcdab34a6bd48ae4bdbc,"[(5, 0.13280943), (10, 0.6897336), (19, 0.13819933)]"
Grants623afcdcb34a6bd48ae4bdbd,"[(2, 0.61838305), (11, 0.119283974), (19, 0.23615785)]"
Grants623afcdfb34a6bd48ae4bdbe,"[(9, 0.23017603), (11, 0.33093858), (19, 0.39774776)]"
Grants623afce2b34a6bd48ae4bdbf,"[(6, 0.4472843), (11, 0.12783916), (19, 0.38561413)]"
Grants623afce4b34a6bd48ae4bdc0,"[(0, 0.63064146), (11, 0.10319313), (19, 0.23417303)]"
Grants623afce7b34a6bd48ae4bdc1,"[(11, 0.050086536), (13, 0.38763028), (14, 0.13909547), (19, 0.39396107)]"
Grants623afce9b34a6bd48ae4bdc2,"[(4, 0.27169082), (11, 0.045098048), (13, 0.0833964), (14, 0.13196781), (19, 0.44290924)]"
Grants623afcecb34a6bd48ae4bdc3,"[(3, 0.46145716), (17, 0.30392882), (19, 0.18662459)]"
Grants623afceeb34a6bd48ae4bdc4,"[(11, 0.36154503), (19, 0.31776732), (21, 0.28613645)]"
Grants623afcf0b34a6bd48ae4bdc5,"[(11, 0.1171448), (19, 0.3002027), (20, 0.5433902)]"
Grants623afcf3b34a6bd48ae4bdc6,"[(0, 0.04231304), (3, 0.029446304), (11, 0.08879116), (19, 0.21963826), (20, 0.58888656)]"
Grants623afcf5b34a6bd48ae4bdc7,"[(15, 0.47754452), (19, 0.4315109)]"
Grants623afcf8b34a6bd48ae4bdc8,"[(10, 0.15442641), (13, 0.13482529), (19, 0.6599431)]"
Grants623afcfab34a6bd48ae4bdc9,"[(11, 0.34968817), (19, 0.31731677), (21, 0.29844484)]"
Grants623afcfdb34a6bd48ae4bdca,"[(3, 0.034719266), (11, 0.08972909), (13, 0.16113967), (15, 0.07287867), (17, 0.18403815), (19, 0.4258653)]"
Grants623afcffb34a6bd48ae4bdcb,"[(11, 0.1413044), (13, 0.22119518), (17, 0.25829008), (19, 0.34023654)]"
Grants623afd01b34a6bd48ae4bdcc,"[(6, 0.28938967), (11, 0.3774356), (19, 0.2999527)]"
Grants623afd04b34a6bd48ae4bdcd,"[(0, 0.14629738), (3, 0.25282365), (11, 0.21431476), (19, 0.34343517)]"
Grants623afd06b34a6bd48ae4bdce,"[(11, 0.050976895), (13, 0.3671675), (14, 0.12436562), (19, 0.3608783), (21, 0.07167894)]"
Grants623afd09b34a6bd48ae4bdcf,"[(2, 0.3789979), (10, 0.07185562), (11, 0.23282701), (19, 0.28484786)]"
Grants623afd0bb34a6bd48ae4bdd0,"[(0, 0.48038685), (5, 0.056530405), (10, 0.093302414), (19, 0.3325547)]"
Grants623afd0eb34a6bd48ae4bdd1,"[(0, 0.4820832), (10, 0.078450434), (19, 0.40347406)]"
Grants623afd10b34a6bd48ae4bdd2,"[(6, 0.15597826), (8, 0.08410221), (11, 0.101602934), (19, 0.6280046)]"
Grants623afd13b34a6bd48ae4bdd3,"[(4, 0.6665255), (19, 0.2939338)]"
Grants623afd17b34a6bd48ae4bdd4,"[(11, 0.082590066), (19, 0.8810443)]"
Grants623afd21b34a6bd48ae4bdd5,"[(6, 0.19209832), (12, 0.32279012), (14, 0.048850708), (19, 0.4006781)]"
Grants623afd23b34a6bd48ae4bdd6,"[(7, 0.8554541), (9, 0.10123121)]"
Grants623afd26b34a6bd48ae4bdd7,"[(11, 0.3187274), (14, 0.2701804), (19, 0.36309713)]"
Grants623afd28b34a6bd48ae4bdd8,"[(0, 0.3848341), (11, 0.12408885), (17, 0.061056335), (19, 0.38455212)]"
Grants623afd2bb34a6bd48ae4bdd9,"[(11, 0.056658596), (13, 0.48541313), (19, 0.43006498)]"
Grants623afd2fb34a6bd48ae4bdda,"[(5, 0.13821313), (11, 0.052131914), (13, 0.13003138), (14, 0.20210057), (19, 0.4533706)]"
Grants623afd31b34a6bd48ae4bddb,"[(9, 0.2278959), (12, 0.14119264), (19, 0.59491843)]"
Grants623afd33b34a6bd48ae4bddc,"[(7, 0.25987566), (17, 0.39920723), (19, 0.30767816)]"
Grants623afd36b34a6bd48ae4bddd,"[(11, 0.08606895), (14, 0.5765171), (19, 0.3041925)]"
Grants623afd38b34a6bd48ae4bdde,"[(10, 0.0709112), (11, 0.47855094), (19, 0.41454932)]"
Grants623afd3bb34a6bd48ae4bddf,"[(11, 0.48814222), (19, 0.45124504)]"
Grants623afd3db34a6bd48ae4bde0,"[(3, 0.52553743), (11, 0.19756499), (19, 0.24810287)]"
Grants623afd40b34a6bd48ae4bde1,"[(8, 0.18712468), (10, 0.22460854), (18, 0.21062127), (19, 0.33457312)]"
Grants623afd42b34a6bd48ae4bde2,"[(8, 0.21598744), (12, 0.37766278), (19, 0.36087605)]"
Grants623afd44b34a6bd48ae4bde3,"[(7, 0.28017062), (17, 0.4162008), (19, 0.27163845)]"
Grants623afd47b34a6bd48ae4bde4,"[(5, 0.07573241), (8, 0.37205708), (9, 0.031717014), (11, 0.21014796), (19, 0.2766566)]"
Grants623afd49b34a6bd48ae4bde5,"[(11, 0.41497108), (12, 0.2486031), (19, 0.2952924)]"
Grants623afd4cb34a6bd48ae4bde6,"[(0, 0.92533404), (19, 0.03134666)]"
Grants623afd4eb34a6bd48ae4bde7,"[(11, 0.06734506), (19, 0.5122097), (20, 0.176054), (21, 0.20881173)]"
Grants623afd50b34a6bd48ae4bde8,"[(9, 0.04671208), (11, 0.058943458), (13, 0.13586703), (19, 0.43952447), (20, 0.29479545)]"
Grants623afd53b34a6bd48ae4bde9,"[(10, 0.3939029), (13, 0.10133745), (19, 0.47152627)]"
Grants623afd56b34a6bd48ae4bdea,"[(0, 0.6272104), (18, 0.24748556), (19, 0.06771602)]"
Grants623afd59b34a6bd48ae4bdeb,"[(7, 0.29955953), (11, 0.029700447), (13, 0.1486244), (19, 0.3680299), (21, 0.11894901)]"
Grants623afd5bb34a6bd48ae4bdec,"[(14, 0.86108494), (20, 0.105241805)]"
Grants623afd5eb34a6bd48ae4bded,"[(11, 0.3483873), (13, 0.34830672), (19, 0.27008486)]"
Grants623afd60b34a6bd48ae4bdee,"[(3, 0.65416735), (11, 0.11000449), (19, 0.20703624)]"
Grants623afd62b34a6bd48ae4bdef,"[(11, 0.19009233), (19, 0.7735402)]"
Grants623afd65b34a6bd48ae4bdf0,"[(11, 0.28306362), (19, 0.33495545), (20, 0.340796)]"
Grants623afd67b34a6bd48ae4bdf1,"[(5, 0.102388635), (19, 0.8562801)]"
Grants623afd6ab34a6bd48ae4bdf2,"[(4, 0.29652548), (6, 0.18048628), (11, 0.10497454), (19, 0.37705925)]"
Grants623afd6cb34a6bd48ae4bdf3,"[(6, 0.38759294), (11, 0.16555905), (13, 0.16173565), (19, 0.25689396)]"
Grants623afd6fb34a6bd48ae4bdf4,"[(7, 0.3835909), (9, 0.38361606), (19, 0.20080099)]"
Grants623afd71b34a6bd48ae4bdf5,"[(9, 0.23942448), (11, 0.27218303), (19, 0.4404028)]"
Grants623afd74b34a6bd48ae4bdf6,"[(9, 0.64065295), (19, 0.32437333)]"
Grants623afd76b34a6bd48ae4bdf7,"[(11, 0.12794642), (13, 0.20330122), (19, 0.26866454), (21, 0.36289218)]"
Grants623afd78b34a6bd48ae4bdf8,"[(11, 0.13537808), (13, 0.2296917), (19, 0.31248716), (21, 0.2793744)]"
Grants623afd7bb34a6bd48ae4bdf9,"[(4, 0.06722727), (6, 0.05637994), (9, 0.118849516), (11, 0.11513092), (19, 0.6017356)]"
Grants623afd7db34a6bd48ae4bdfa,"[(11, 0.55831695), (19, 0.39117175)]"
Grants623afd80b34a6bd48ae4bdfb,"[(3, 0.14559494), (4, 0.21815331), (5, 0.114387065), (10, 0.2721522), (19, 0.22210813)]"
Grants623afd82b34a6bd48ae4bdfc,"[(11, 0.08543315), (12, 0.46964908), (19, 0.40892506)]"
Grants623afd84b34a6bd48ae4bdfd,"[(12, 0.19069245), (13, 0.4075676), (19, 0.36571786)]"
Grants623afd87b34a6bd48ae4bdfe,"[(10, 0.04901978), (11, 0.13727018), (14, 0.05996101), (19, 0.24936086), (21, 0.47576234)]"
Grants623afd89b34a6bd48ae4bdff,"[(7, 0.09599097), (11, 0.04428686), (19, 0.5678857), (21, 0.25459936)]"
Grants623afd8cb34a6bd48ae4be00,"[(11, 0.11800329), (17, 0.4357121), (19, 0.39229247)]"
Grants623afd8eb34a6bd48ae4be01,"[(6, 0.36606756), (11, 0.09844424), (14, 0.14337179), (19, 0.35801694)]"
Grants623afd90b34a6bd48ae4be02,"[(5, 0.21432225), (9, 0.073379904), (11, 0.11223289), (15, 0.10790334), (19, 0.46721962)]"
Grants623afd94b34a6bd48ae4be03,"[(11, 0.08842391), (19, 0.3491985), (20, 0.53451484)]"
Grants623afd96b34a6bd48ae4be04,"[(1, 0.06634714), (5, 0.25698236), (11, 0.42816886), (19, 0.2202695)]"
Grants623afd99b34a6bd48ae4be05,"[(2, 0.3881685), (6, 0.19403364), (11, 0.11144576), (19, 0.27604076)]"
Grants623afd9bb34a6bd48ae4be06,"[(10, 0.14755863), (11, 0.13678186), (16, 0.32258767), (19, 0.3541035)]"
Grants623afd9eb34a6bd48ae4be07,"[(9, 0.20597841), (11, 0.21477757), (19, 0.36818483), (20, 0.16291422)]"
Grants623afda0b34a6bd48ae4be08,"[(14, 0.879328), (20, 0.07934494)]"
Grants623afda2b34a6bd48ae4be09,"[(10, 0.10393974), (19, 0.8311048)]"
Grants623afda5b34a6bd48ae4be0a,"[(11, 0.50430256), (19, 0.43886924)]"
Grants623afda7b34a6bd48ae4be0b,"[(1, 0.3273417), (11, 0.24927746), (19, 0.38582438)]"
Grants623afda9b34a6bd48ae4be0c,"[(1, 0.3922681), (11, 0.25316113), (19, 0.32577866)]"
Grants623afdacb34a6bd48ae4be0d,"[(1, 0.44001758), (11, 0.1782196), (19, 0.34577203)]"
